example_id,text_en,text_de,url_en,url_de,human_evaluation_error_categories,human_clickability_score,human_reasoning,human_localization
activity_title_1_en_de,Luxor: Valley of the Kings and Queens Guided Tour with Lunch,Luxor: Tal der Könige und Königinnen Geführte Tour mit Mittagessen,https://www.getyourguide.com/luxor-l109/luxor-valley-of-kings-queens-shared-tour-guide-and-lunch-t515380/ ,https://www.getyourguide.com/de-de/luxor-l109/luxor-valley-of-kings-queens-shared-tour-guide-and-lunch-t515380/ ,"Grammar,Formatting,Fluency",Unlikely,"Grammar,Formatting: The word Geführte is incorrectly capitalized

Fluency: The sentence structure is awkward and has an incorrect word-order. Also, mit Mittagessen sounds somewhat repetitive",Luxor: Geführte Tour durch das Tal der Könige und Königinnen inkl. Mittagessen
activity_title_2_en_de,Luxor: Karnak Temple and Luxor Temple Tour with Lunch,Luxor: Karnak-Tempel und Luxor-Tempel-Tour mit Mittagessen,https://www.getyourguide.com/luxor-l109/luxor-luxor-s-east-bank-shared-tour-with-a-guide-and-lunch-t514870/,https://www.getyourguide.com/de-de/luxor-l109/luxor-luxor-s-east-bank-shared-tour-with-a-guide-and-lunch-t514870/,"Grammar,Fluency",Unlikely,"Grammar: The hyphens are incorrectly used at a grammatical level which should have been Karnak- und Luxor-Tempel-Tour

Fluency: The overuse of hyphens breaks the fluency of the title. Also, mit Mittagessen sounds somewhat repetitive, and distorts the readability on the app",Luxor: Tour zum Karnak- und Luxor-Tempel inkl. Mittagessen
activity_title_3_en_de,Berlin Dungeon: Entrance Ticket,Berlin Dungeon: Ticket für den Eintritt,https://www.getyourguide.com/berlin-l17/skip-the-line-berlin-dungeon-tickets-t33395,https://www.getyourguide.com/de-de/berlin-l17/skip-the-line-berlin-dungeon-tickets-t33395,"Vocabulary,Fluency,Terminology",Neutral,"Vocabulary,Terminology: The standard and correct term is either Eintrittskarte or Eintrittsticket

Fluency: A translationese issue where the title is translated word-by-word instead of using the available correct vocabulary",Berlin Dungeon: Eintrittskarte
activity_title_4_en_de,"Berlin: Reichstag, Dome and Government District Guided Tour","Berlin: Führung durch Plenarsaal, Kuppel und Regierungsviertel",https://www.getyourguide.com/berlin-l17/berlin-reichstag-dome-and-government-district-guided-tour-t45967,https://www.getyourguide.com/de-de/berlin-l17/berlin-reichstag-dome-and-government-district-guided-tour-t45967,Accuracy,Highly Unlikely,"Accuracy: Inaccurate term used for Reichstag, which is suddently replaced by Plenarsaal","Berlin: Führung durch Reichstag, Kuppel und Regierungsviertel"
activity_title_5_en_de,Berlin: Kinky Club Behind-the-Scenes Tour with Champagne,Berlin: Tour hinter die Kulissen eines Kinky-Clubs mit Champagner,https://www.getyourguide.com/berlin-l17/berlin-kinky-club-behind-the-scenes-tour-with-champagne-t1424893,https://www.getyourguide.com/de-de/berlin-l17/berlin-kinky-club-behind-the-scenes-tour-with-champagne-t1424893,"Grammar,Fluency,Terminology",Neutral,"Grammar,Fluency,Terminology: Blick hinter die Kulissen is a standard terminology and better than Tour hinter die Kulissen",Berlin: Blick hinter die Kulissen eines Kinky-Clubs inkl. Champagner
activity_title_6_en_de,"Paris: Photoshoot by the Eiffel Tower, BEST PRICE AND VALUE","Paris: Fotoshooting am Eiffelturm, BESTER PREIS UND BESTES PREIS-LEISTUNGS-VERHÄLTNIS",https://www.getyourguide.com/paris-l16/paris-photoshoot-near-the-eiffel-tower-t891663,https://www.getyourguide.com/de-de/paris-l16/paris-photoshoot-near-the-eiffel-tower-t891663,"Formatting,Terminology,Fluency",Highly Unlikely,"Formatting: The use of all-caps is somewhat aggresseive and occupies the most part of the title

Terminology: Best price and value was incorrectly translated as Bester Preis und bestes Preis-Leistungs-Verhältnis

Fluency: The repetitive use of best and the all-caps distorts the fluency of the title",Paris: Fotoshooting am Eiffelturm - Bestes Preis-Leisungs-Verhältnis
activity_title_7_en_de,Paris: Evening Lights Cruise with Legendary Bateaux-Mouches,Paris: Abendliche Lichter-Bootsfahrt mit den legendären Bateaux-Mouches,https://www.getyourguide.com/paris-l16/paris-bateaux-mouches-evening-cruise-souvenir-postcard-t1282311,https://www.getyourguide.com/de-de/paris-l16/paris-bateaux-mouches-evening-cruise-souvenir-postcard-t1282311,Terminology,Unlikely,"Terminology: Lichterfahrt captures the meaning of Lichter-Bootsfahrt in a more accurate way, using a standard terminology in the tourism industry",Paris: Abendliche Lichterfahrt mit den legendären Bateaux-Mouches
activity_title_8_en_de,Paris: 1-Hour Seine Cruise departing from the Eiffel Tower,Paris: 1-stündige Seine-Kreuzfahrt ab dem Eiffelturm,https://www.getyourguide.com/paris-l16/paris-1-hour-seine-cruise-departing-from-the-eiffel-tower-t193940,https://www.getyourguide.com/de-de/paris-l16/paris-1-hour-seine-cruise-departing-from-the-eiffel-tower-t193940,Terminology,Highly Unlikely,"Terminology: The term Kreuzfahrt is incorrectly used. It is used for longer cruises with cabins, etc. The correct term should be Bootsfahrt",Paris: 1-stündige Seine-Bootsfahrt ab dem Eiffelturm
activity_title_9_en_de,Rome: Nighttime Tour by Open-Top Bus,Rom: Nachttour im offenen Bus,https://www.getyourguide.com/rome-l33/rome-nighttime-tour-by-open-top-bus-t415964,https://www.getyourguide.com/de-de/rome-l33/rome-nighttime-tour-by-open-top-bus-t415964,Terminology,Highly Unlikely,Terminology: im offenen Bus is an incorrect term for the accepted Open-Top-Bus or Cabrio-Bus in German,Rom: Nachttour im Cabrio-Bus
activity_title_10_en_de,Rome: Pub Crawl & Ultimate Party Tour,Rom: Kneipentour & ultimative Party-Tour,https://www.getyourguide.com/rome-l33/pub-crawl-ultimate-party-t492633,https://www.getyourguide.com/de-de/rome-l33/pub-crawl-ultimate-party-t492633,Fluency,Likely,"Fluency: Using tour twice affects the fluency slightly. Also,Pub Crawl is an acceptable term for young crowd in Germany",Rom: Pub Crawl & ultimative Party-Tour
