example_id,text_en,text_de,url_en,url_de,human_evaluation_error_categories,human_clickability_score,human_reasoning,human_localization,model_evaluation_error_categories,model_clickability_score,model_reasoning,model_localization
activity_title_1_en_de,Luxor: Valley of the Kings and Queens Guided Tour with Lunch,Luxor: Tal der Könige und Königinnen Geführte Tour mit Mittagessen,https://www.getyourguide.com/luxor-l109/luxor-valley-of-kings-queens-shared-tour-guide-and-lunch-t515380/ ,https://www.getyourguide.com/de-de/luxor-l109/luxor-valley-of-kings-queens-shared-tour-guide-and-lunch-t515380/ ,"Grammar,Formatting,Fluency",Unlikely,"Grammar,Formatting: The word Geführte is incorrectly capitalized

Fluency: The sentence structure is awkward and has an incorrect word-order. Also, mit Mittagessen sounds somewhat repetitive",Luxor: Geführte Tour durch das Tal der Könige und Königinnen inkl. Mittagessen,Fluency,Neutral,"The translation is accurate in terms of content and largely adheres to German capitalization rules (Sentence Case for nouns, proper nouns, and the first word). However, the phrasing 'Geführte Tour mit Mittagessen' sounds somewhat literal and exhibits 'Translationese' (Rule 4: Natural UX & Fluency). While grammatically correct, it's not the most natural or concise way to express 'Guided Tour with Lunch' in German e-commerce titles. A more fluent and idiomatic expression would be 'Führung mit Mittagessen' or 'Geführte Tour inklusive Mittagessen'. This slight awkwardness impacts the overall fluency and could subtly reduce user trust or clickability, placing it in the 'Neutral' category rather than 'Likely' or 'Highly Likely'.",Luxor: Tal der Könige und Königinnen: Führung mit Mittagessen
activity_title_2_en_de,Luxor: Karnak Temple and Luxor Temple Tour with Lunch,Luxor: Karnak-Tempel und Luxor-Tempel-Tour mit Mittagessen,https://www.getyourguide.com/luxor-l109/luxor-luxor-s-east-bank-shared-tour-with-a-guide-and-lunch-t514870/,https://www.getyourguide.com/de-de/luxor-l109/luxor-luxor-s-east-bank-shared-tour-with-a-guide-and-lunch-t514870/,"Grammar,Fluency",Unlikely,"Grammar: The hyphens are incorrectly used at a grammatical level which should have been Karnak- und Luxor-Tempel-Tour

Fluency: The overuse of hyphens breaks the fluency of the title. Also, mit Mittagessen sounds somewhat repetitive, and distorts the readability on the app",Luxor: Tour zum Karnak- und Luxor-Tempel inkl. Mittagessen,Fluency,Likely,"The translation is accurate and largely adheres to German capitalization and compound word rules (e.g., 'Karnak-Tempel', 'Luxor-Tempel-Tour', 'Mittagessen'). However, the phrasing 'Karnak-Tempel und Luxor-Tempel-Tour' is slightly verbose and repetitive, which impacts fluency. A more natural and concise German construction would combine the temples before 'Tour', such as 'Karnak- und Luxor-Tempel-Tour'. This minor fluency issue makes the title sound a little less native, but it does not impede understanding or accuracy. The overall message is clear, and the title is still clickable, hence a 'Likely' score.",Luxor: Karnak- und Luxor-Tempel-Tour mit Mittagessen
activity_title_3_en_de,Berlin Dungeon: Entrance Ticket,Berlin Dungeon: Ticket für den Eintritt,https://www.getyourguide.com/berlin-l17/skip-the-line-berlin-dungeon-tickets-t33395,https://www.getyourguide.com/de-de/berlin-l17/skip-the-line-berlin-dungeon-tickets-t33395,"Vocabulary,Fluency,Terminology",Neutral,"Vocabulary,Terminology: The standard and correct term is either Eintrittskarte or Eintrittsticket

Fluency: A translationese issue where the title is translated word-by-word instead of using the available correct vocabulary",Berlin Dungeon: Eintrittskarte,"Fluency,Terminology",Unlikely,"The translation 'Ticket für den Eintritt' is a literal rendition of 'Entrance Ticket' and exhibits clear signs of 'Translationese'. According to Style Guide Rule 4 (Natural UX & Fluency), the phrasing is unnatural and clunky for a native German speaker. Rule 5 (Terminology) is also violated, as 'Eintrittskarte' or 'Eintrittsticket' are the standard, concise, and natural terms used in the German travel industry for an entrance ticket. The current phrasing sounds machine-translated and lacks the professional polish expected, which negatively impacts user trust and the perceived quality of the offering, making a click less likely.",Berlin Dungeon: Eintrittskarte
activity_title_4_en_de,"Berlin: Reichstag, Dome and Government District Guided Tour","Berlin: Führung durch Plenarsaal, Kuppel und Regierungsviertel",https://www.getyourguide.com/berlin-l17/berlin-reichstag-dome-and-government-district-guided-tour-t45967,https://www.getyourguide.com/de-de/berlin-l17/berlin-reichstag-dome-and-government-district-guided-tour-t45967,Accuracy,Highly Unlikely,"Accuracy: Inaccurate term used for Reichstag, which is suddently replaced by Plenarsaal","Berlin: Führung durch Reichstag, Kuppel und Regierungsviertel","Accuracy,Terminology",Unlikely,"The target text incorrectly translates 'Reichstag' as 'Plenarsaal'. While the Plenarsaal (Plenary Hall) is a part of the Reichstag building, 'Reichstag' itself is the widely recognized landmark and institution. Replacing it with 'Plenarsaal' constitutes an Accuracy error, as it misrepresents the scope of the tour by focusing on a specific room rather than the entire iconic building. This also falls under Terminology, as 'Reichstag' is the standard and expected term for the landmark in a tour context. This choice significantly reduces the immediate recognition and appeal for a German user searching for a tour of the 'Reichstag', making the title less effective and discoverable. The clickability score is 'Unlikely' because the title fails to leverage the strong brand recognition of 'Reichstag', potentially leading users to overlook the activity.","Berlin: Führung durch Reichstag, Kuppel und Regierungsviertel"
activity_title_5_en_de,Berlin: Kinky Club Behind-the-Scenes Tour with Champagne,Berlin: Tour hinter die Kulissen eines Kinky-Clubs mit Champagner,https://www.getyourguide.com/berlin-l17/berlin-kinky-club-behind-the-scenes-tour-with-champagne-t1424893,https://www.getyourguide.com/de-de/berlin-l17/berlin-kinky-club-behind-the-scenes-tour-with-champagne-t1424893,"Grammar,Fluency,Terminology",Neutral,"Grammar,Fluency,Terminology: Blick hinter die Kulissen is a standard terminology and better than Tour hinter die Kulissen",Berlin: Blick hinter die Kulissen eines Kinky-Clubs inkl. Champagner,Fluency,Neutral,"The translation is grammatically correct and accurately conveys the source information. However, the phrasing 'Tour hinter die Kulissen eines Kinky-Clubs' is a very literal translation of 'Behind-the-Scenes Tour of a Kinky Club'. While understandable, it lacks the natural flow and conciseness expected in German e-commerce titles, violating the 'Natural UX & Fluency' style guide rule. A native speaker would likely prefer a more idiomatic construction, such as a compound noun or a more concise phrase. The current phrasing feels slightly clunky and less engaging, leading to a 'Neutral' clickability score as it doesn't actively deter but also doesn't optimize for user appeal.",Berlin: Hinter-den-Kulissen-Tour durch einen Kinky-Club mit Champagner
activity_title_6_en_de,"Paris: Photoshoot by the Eiffel Tower, BEST PRICE AND VALUE","Paris: Fotoshooting am Eiffelturm, BESTER PREIS UND BESTES PREIS-LEISTUNGS-VERHÄLTNIS",https://www.getyourguide.com/paris-l16/paris-photoshoot-near-the-eiffel-tower-t891663,https://www.getyourguide.com/de-de/paris-l16/paris-photoshoot-near-the-eiffel-tower-t891663,"Formatting,Terminology,Fluency",Highly Unlikely,"Formatting: The use of all-caps is somewhat aggresseive and occupies the most part of the title

Terminology: Best price and value was incorrectly translated as Bester Preis und bestes Preis-Leistungs-Verhältnis

Fluency: The repetitive use of best and the all-caps distorts the fluency of the title",Paris: Fotoshooting am Eiffelturm - Bestes Preis-Leisungs-Verhältnis,"Formatting,Grammar,Fluency",Unlikely,"The target text contains several errors that negatively impact its quality and user experience. Firstly, the use of ALL CAPS for 'BESTER PREIS UND BESTES PREIS-LEISTUNGS-VERHÄLTNIS' violates the style guide rule against ALL CAPS, which is perceived as aggressive and lowers user trust. This is a Formatting error. Secondly, German titles should use Sentence Case, meaning only the initial word and proper nouns/nouns are capitalized. The target text incorrectly retains English Title Case/ALL CAPS for 'BESTER PREIS UND BESTES PREIS-LEISTUNGS-VERHÄLTNIS', which is a Grammar error (capitalization). Lastly, while 'Preis-Leistungs-Verhältnis' is correct terminology, the phrase 'BESTER PREIS UND BESTES PREIS-LEISTUNGS-VERHÄLTNIS' is somewhat verbose and repetitive ('bestes' twice), leading to a less natural and fluent reading experience for a German native speaker. A more concise and natural phrasing would improve Fluency. These issues combined make the title less appealing and trustworthy, leading to an 'Unlikely' clickability score.",Paris: Fotoshooting am Eiffelturm – Top Preis-Leistungs-Verhältnis
activity_title_7_en_de,Paris: Evening Lights Cruise with Legendary Bateaux-Mouches,Paris: Abendliche Lichter-Bootsfahrt mit den legendären Bateaux-Mouches,https://www.getyourguide.com/paris-l16/paris-bateaux-mouches-evening-cruise-souvenir-postcard-t1282311,https://www.getyourguide.com/de-de/paris-l16/paris-bateaux-mouches-evening-cruise-souvenir-postcard-t1282311,Terminology,Unlikely,"Terminology: Lichterfahrt captures the meaning of Lichter-Bootsfahrt in a more accurate way, using a standard terminology in the tourism industry",Paris: Abendliche Lichterfahrt mit den legendären Bateaux-Mouches,Fluency,Neutral,"The translation is largely accurate and adheres to capitalization rules. However, the phrasing 'Abendliche Lichter-Bootsfahrt' is slightly less natural and concise than optimal German. While 'Lichter-Bootsfahrt' with a hyphen is technically permissible according to the compound word rule (allowing single words or hyphenated compounds), the single compound 'Lichterbootsfahrt' or the more concise 'Lichterfahrt' (which implies a boat ride in this context, especially with 'Bateaux-Mouches') would sound more fluent and natural to a native speaker. The current phrasing feels a bit literal and slightly clunky, impacting the overall user experience and fluency. This minor awkwardness leads to a 'Neutral' clickability score, as it doesn't actively deter but also doesn't optimize for native-like appeal.",Paris: Abendliche Lichterfahrt mit den legendären Bateaux-Mouches
activity_title_8_en_de,Paris: 1-Hour Seine Cruise departing from the Eiffel Tower,Paris: 1-stündige Seine-Kreuzfahrt ab dem Eiffelturm,https://www.getyourguide.com/paris-l16/paris-1-hour-seine-cruise-departing-from-the-eiffel-tower-t193940,https://www.getyourguide.com/de-de/paris-l16/paris-1-hour-seine-cruise-departing-from-the-eiffel-tower-t193940,Terminology,Highly Unlikely,"Terminology: The term Kreuzfahrt is incorrectly used. It is used for longer cruises with cabins, etc. The correct term should be Bootsfahrt",Paris: 1-stündige Seine-Bootsfahrt ab dem Eiffelturm,,Highly Likely,"The translation is excellent and adheres to all specified style guide rules. It correctly uses Sentence Case capitalization, forms compound nouns ('Seine-Kreuzfahrt') and adjectives ('1-stündige') appropriately, and avoids ALL CAPS. The phrasing '1-stündige Seine-Kreuzfahrt ab dem Eiffelturm' is natural, fluent, and uses standard German travel terminology, avoiding any 'translationese'. All essential information from the source is accurately conveyed. This high quality ensures user trust and a positive user experience, making conversion highly likely.",Paris: 1-stündige Seine-Kreuzfahrt ab dem Eiffelturm
activity_title_9_en_de,Rome: Nighttime Tour by Open-Top Bus,Rom: Nachttour im offenen Bus,https://www.getyourguide.com/rome-l33/rome-nighttime-tour-by-open-top-bus-t415964,https://www.getyourguide.com/de-de/rome-l33/rome-nighttime-tour-by-open-top-bus-t415964,Terminology,Highly Unlikely,Terminology: im offenen Bus is an incorrect term for the accepted Open-Top-Bus or Cabrio-Bus in German,Rom: Nachttour im Cabrio-Bus,,Likely,"The translation is accurate, fluent, and adheres to all specified style guide rules. It uses correct German capitalization (Sentence Case), forms compound nouns correctly ('Nachttour'), avoids ALL CAPS, and sounds natural to a native speaker. The terminology 'Nachttour' and 'offener Bus' is standard for the travel industry. The title is concise and clearly communicates the activity, positively impacting user trust and clickability.",Rom: Nachttour im offenen Bus
activity_title_10_en_de,Rome: Pub Crawl & Ultimate Party Tour,Rom: Kneipentour & ultimative Party-Tour,https://www.getyourguide.com/rome-l33/pub-crawl-ultimate-party-t492633,https://www.getyourguide.com/de-de/rome-l33/pub-crawl-ultimate-party-t492633,Fluency,Likely,"Fluency: Using tour twice affects the fluency slightly. Also,Pub Crawl is an acceptable term for young crowd in Germany",Rom: Pub Crawl & ultimative Party-Tour,,Highly Likely,"The translation is excellent and adheres to all specified style guide rules. 'Rom' is correctly capitalized as a proper noun. 'Kneipentour' is a natural and accurate German compound for 'Pub Crawl', correctly written as a single word. 'ultimative Party-Tour' is also a fluent and accurate translation for 'Ultimate Party Tour', with 'Party-Tour' correctly hyphenated as a compound noun. Capitalization follows German Sentence Case (only the first word and nouns are capitalized), avoiding English Title Case. There are no ALL CAPS, 'translationese', or unnatural phrasing. The terminology is standard for the travel industry, and accuracy is maintained. This title is highly clickable due to its natural flow, accuracy, and adherence to German linguistic conventions.",Rom: Kneipentour & ultimative Party-Tour
